,State,Account length,Area code,International plan,Voice mail plan,Total day minutes,Total day calls,Total day charge,Total eve minutes,Total eve calls,Total eve charge,Total night minutes,Total night calls,Total night charge,Total intl minutes,Total intl calls,Total intl charge,Customer service calls,Churn
946,45,64,510,2116,659,154.6,92,26.28,83.4,103,7.09,165.9,99,7.47,13.3,3,3.59,1,0
986,53,98,415,2116,1674,206.5,92,35.11,176.2,152,14.98,232.8,115,10.48,12.4,5,3.35,5,0
2272,56,153,415,2116,659,167.7,104,28.51,246.8,91,20.98,203.9,117,9.18,7.5,11,2.03,1,0
761,47,64,510,2116,1674,162.6,83,27.64,152.3,109,12.95,57.5,122,2.59,14.2,3,3.83,1,0
2259,25,77,510,2116,1674,175.5,86,29.84,205.1,78,17.43,245.2,100,11.03,17.8,3,4.81,4,0
3035,53,95,415,2116,1674,157.9,103,26.84,259.6,90,22.07,230.0,117,10.35,14.0,2,3.78,0,0
1894,50,56,415,2116,1674,137.2,111,23.32,165.9,119,14.1,182.3,72,8.2,14.3,4,3.86,1,0
3330,75,68,415,2116,1674,231.1,57,39.29,153.4,55,13.04,191.3,123,8.61,9.6,4,2.59,3,0
659,25,127,510,2116,1674,107.9,128,18.34,187.0,77,15.9,218.5,95,9.83,0.0,0,0.0,0,0
1751,52,131,415,2116,659,156.6,134,26.62,71.0,95,6.04,261.7,120,11.78,13.4,10,3.62,1,0
1250,42,116,415,2116,659,193.4,112,32.88,240.6,131,20.45,248.1,98,11.16,11.4,3,3.08,5,0
653,53,133,510,2116,1674,295.0,141,50.15,223.6,101,19.01,229.4,109,10.32,12.9,4,3.48,2,1
2236,56,60,510,2116,1674,221.1,106,37.59,178.6,48,15.18,202.7,90,9.12,7.4,3,2.0,1,0
1785,63,37,415,2116,659,264.7,81,45.0,216.5,110,18.4,210.7,102,9.48,10.4,7,2.81,0,0
1017,51,112,510,2116,1674,243.4,77,41.38,182.1,97,15.48,259.2,94,11.66,12.8,2,3.46,1,0
123,42,105,415,217,659,220.7,82,37.52,217.7,110,18.5,190.5,100,8.57,13.2,6,3.56,1,1
577,60,82,415,2116,659,146.5,73,24.91,246.4,65,20.94,199.0,114,8.96,4.1,4,1.11,1,0
49,38,155,408,2116,1674,262.4,55,44.61,194.6,113,16.54,146.5,85,6.59,8.3,6,2.24,2,0
2664,36,123,415,2116,659,305.2,80,51.88,156.5,109,13.3,280.0,81,12.6,13.2,7,3.56,1,0
2893,44,123,510,2116,659,245.0,88,41.65,265.0,105,22.53,239.7,108,10.79,14.9,3,4.02,2,0
1812,53,133,408,2116,659,174.0,80,29.58,209.4,113,17.8,224.1,87,10.08,14.1,7,3.81,2,1
1719,51,28,415,2116,1674,159.7,79,27.15,216.7,131,18.42,206.7,116,9.3,9.3,3,2.51,2,0
1496,53,85,510,2116,1674,212.3,107,36.09,228.4,103,19.41,163.3,116,7.35,7.7,3,2.08,0,0
3279,41,130,510,2116,1674,132.4,81,22.51,200.3,110,17.03,202.5,103,9.11,6.0,1,1.62,2,0
1896,53,102,415,2116,1674,271.1,80,46.09,172.0,133,14.62,169.2,105,7.61,10.3,5,2.78,1,0
224,51,53,415,2116,659,25.9,119,4.4,206.5,96,17.55,228.1,64,10.26,6.5,7,1.76,1,0
267,47,116,415,2116,659,182.8,122,31.08,212.7,119,18.08,193.8,103,8.72,11.0,2,2.97,1,0
2576,51,90,415,2116,1674,246.4,83,41.89,160.3,88,13.63,170.9,99,7.69,7.6,7,2.05,1,0
196,39,132,415,2116,659,175.7,93,29.87,187.2,94,15.91,225.5,118,10.15,8.6,3,2.32,2,0
1073,51,136,415,2116,659,143.1,88,24.33,236.6,65,20.11,227.8,120,10.25,11.4,5,3.08,2,0
3275,38,127,510,2116,1674,134.9,79,22.93,221.5,114,18.83,113.8,118,5.12,15.0,2,4.05,1,0
1647,43,58,510,2116,1674,243.1,105,41.33,231.4,108,19.67,180.9,120,8.14,7.8,4,2.11,2,0
801,51,62,415,2116,1674,98.9,103,16.81,135.4,122,11.51,236.6,82,10.65,12.2,1,3.29,1,0
1331,42,77,415,2116,1674,239.2,114,40.66,150.0,115,12.75,160.8,81,7.24,10.3,2,2.78,5,0
1686,45,141,510,2116,659,215.4,123,36.62,328.7,98,27.94,160.5,89,7.22,7.8,6,2.11,1,0
1918,52,94,408,2116,1674,118.7,90,20.18,205.1,57,17.43,172.2,100,7.75,10.4,6,2.81,3,0
1029,51,88,510,2116,1674,138.3,116,23.51,236.0,138,20.06,179.1,110,8.06,9.6,4,2.59,3,0
450,37,153,408,2116,1674,154.6,56,26.28,263.0,84,22.36,367.7,89,16.55,15.5,2,4.19,1,0
375,44,21,510,2116,1674,225.0,110,38.25,244.2,111,20.76,221.2,93,9.95,10.7,4,2.89,0,0
2792,50,91,408,217,1674,246.4,110,41.89,182.0,98,15.47,157.6,106,7.09,12.1,2,3.27,2,1
903,50,166,510,2116,1674,204.2,115,34.71,179.9,152,15.29,216.8,109,9.76,9.5,5,2.57,1,0
2828,50,77,415,2116,1674,221.8,84,37.71,166.0,125,14.11,210.2,72,9.46,13.2,4,3.56,1,0
1204,60,65,510,2116,1674,195.4,110,33.22,181.2,109,15.4,178.5,105,8.03,8.9,4,2.4,0,0
539,39,84,408,2116,659,106.5,65,18.11,225.7,108,19.18,188.6,61,8.49,5.7,3,1.54,2,0
1582,60,157,510,2116,659,194.3,107,33.03,243.2,108,20.67,322.2,114,14.5,7.1,5,1.92,1,0
2319,50,140,415,2116,1674,160.5,114,27.29,240.5,103,20.44,233.5,121,10.51,11.3,4,3.05,1,0
2237,39,43,408,2116,1674,177.2,93,30.12,142.6,60,12.12,314.1,144,14.13,12.7,2,3.43,4,0
3068,45,69,415,2116,659,194.9,63,33.13,191.6,90,16.29,153.0,129,6.89,13.2,2,3.56,2,0
2406,75,173,415,2116,1674,191.4,114,32.54,168.5,138,14.32,109.3,99,4.92,10.3,3,2.78,1,0
551,45,178,415,2116,659,175.4,88,29.82,190.0,65,16.15,138.7,94,6.24,10.5,3,2.84,2,0
1455,60,147,510,2116,659,251.5,107,42.76,234.1,110,19.9,213.4,87,9.6,10.4,6,2.81,3,0
2779,37,88,408,2116,1674,152.9,119,25.99,171.2,107,14.55,257.0,106,11.57,12.0,5,3.24,2,0
2073,60,21,415,2116,1674,244.7,81,41.6,168.0,117,14.28,281.5,87,12.67,6.6,1,1.78,1,0
1933,43,82,415,2116,659,163.8,77,27.85,134.9,112,11.47,79.3,95,3.57,8.8,2,2.38,2,0
8,57,10,408,2116,1674,186.1,112,31.64,190.2,66,16.17,282.8,57,12.73,11.4,6,3.08,2,0
1363,43,86,510,2116,1674,124.1,82,21.1,202.6,120,17.22,289.6,119,13.03,6.7,8,1.81,3,0
810,63,62,415,2116,1674,147.1,91,25.01,190.4,107,16.18,195.2,115,8.78,12.2,3,3.29,0,0
1216,44,94,415,2116,1674,139.4,95,23.7,159.1,92,13.52,128.2,129,5.77,7.7,3,2.08,0,0
2400,57,136,415,2116,659,205.5,86,34.94,298.5,119,25.37,214.2,104,9.64,6.9,4,1.86,1,0
316,25,93,510,2116,659,136.8,113,23.26,179.5,105,15.26,71.1,95,3.2,12.5,3,3.38,2,0
1688,50,137,415,2116,1674,115.0,130,19.55,137.8,83,11.71,224.0,61,10.08,7.3,4,1.97,3,0
886,33,101,415,2116,1674,206.6,105,35.12,224.9,117,19.12,249.9,100,11.25,14.6,3,3.94,0,0
1617,34,78,415,217,1674,236.8,141,40.26,265.3,101,22.55,152.4,77,6.86,9.5,2,2.57,1,1
1790,55,96,415,217,1674,200.6,117,34.1,289.5,120,24.61,98.3,95,4.42,11.2,5,3.02,2,0
3174,43,98,408,2116,1674,169.9,77,28.88,138.3,155,11.76,142.6,105,6.42,8.5,7,2.3,1,0
2168,50,68,510,2116,1674,249.9,127,42.48,254.5,118,21.63,273.2,98,12.29,8.9,6,2.4,2,1
764,44,46,408,2116,1674,210.2,92,35.73,227.3,77,19.32,200.1,116,9.0,13.1,7,3.54,1,0
1434,45,93,415,2116,1674,190.2,68,32.33,262.2,64,22.29,130.0,92,5.85,8.8,4,2.38,0,0
1233,39,113,415,2116,1674,215.6,96,36.65,193.4,127,16.44,105.4,115,4.74,13.5,3,3.65,1,0
562,37,185,415,2116,659,157.3,123,26.74,257.7,94,21.9,190.4,107,8.57,9.6,6,2.59,0,0
2248,50,86,510,2116,1674,216.3,96,36.77,266.3,77,22.64,214.0,110,9.63,4.5,3,1.22,0,0
2401,50,119,415,2116,1674,231.5,82,39.36,266.9,97,22.69,211.0,118,9.49,7.4,10,2.0,1,0
3259,40,34,408,2116,1674,180.6,65,30.7,280.4,99,23.83,292.4,105,13.16,5.0,3,1.35,1,0
954,37,79,408,2116,1674,152.2,112,25.87,177.2,132,15.06,96.4,87,4.34,5.3,3,1.43,1,0
1814,50,106,510,2116,659,81.6,120,13.87,235.6,85,20.03,150.9,113,6.79,9.9,4,2.67,1,0
2651,37,105,415,2116,1674,211.1,99,35.89,176.7,66,15.02,221.5,96,9.97,14.7,7,3.97,4,0
1590,25,72,408,2116,659,92.8,98,15.78,271.2,115,23.05,167.1,83,7.52,5.8,7,1.57,1,0
302,57,182,415,2116,1674,176.1,90,29.94,174.9,106,14.87,234.7,134,10.56,9.7,4,2.62,1,0
257,39,139,510,2116,1674,221.3,140,37.62,157.8,89,13.41,192.5,89,8.66,11.3,6,3.05,1,0
711,53,96,415,2116,1674,160.2,117,27.23,267.5,67,22.74,228.5,68,10.28,9.3,5,2.51,2,0
349,60,95,415,2116,1674,269.0,120,45.73,233.7,120,19.86,179.3,61,8.07,7.3,4,1.97,2,1
844,38,93,415,2116,1674,179.3,93,30.48,178.6,98,15.18,225.2,131,10.13,11.5,6,3.11,3,0
748,45,99,415,2116,1674,198.2,87,33.69,207.3,76,17.62,190.9,113,8.59,8.7,3,2.35,4,0
1745,52,129,408,2116,1674,186.0,127,31.62,262.3,96,22.3,98.9,63,4.45,11.5,6,3.11,4,0
2795,40,131,415,2116,659,170.8,145,29.04,236.7,93,20.12,294.5,100,13.25,12.7,1,3.43,1,0
1932,53,75,415,2116,659,198.2,107,33.69,280.4,132,23.83,129.6,73,5.83,11.3,7,3.05,1,0
2038,37,97,415,2116,659,121.1,105,20.59,260.2,115,22.12,222.4,100,10.01,8.3,5,2.24,3,0
2484,36,80,415,217,1674,276.5,122,47.01,195.6,79,16.63,210.3,78,9.46,7.2,3,1.94,1,1
2634,39,80,415,2116,1674,220.0,114,37.4,207.7,76,17.65,168.4,137,7.58,12.1,3,3.27,2,0
179,44,136,408,217,1674,199.6,89,33.93,211.4,96,17.97,72.4,84,3.26,11.0,4,2.97,3,1
2565,42,105,415,2116,1674,273.8,97,46.55,289.7,106,24.62,269.1,126,12.11,5.8,3,1.57,2,1
1267,51,161,415,217,1674,189.6,78,32.23,267.4,117,22.73,184.5,137,8.3,1.3,6,0.35,1,0
2015,51,133,408,2116,1674,221.1,133,37.59,160.2,140,13.62,161.8,84,7.28,8.4,3,2.27,4,0
2020,53,54,415,2116,1674,273.8,113,46.55,119.6,156,10.17,267.6,117,12.04,11.7,3,3.16,1,0
955,39,117,415,2116,1674,181.5,95,30.86,205.1,88,17.43,204.0,82,9.18,14.7,9,3.97,2,0
3031,37,24,415,2116,1674,156.2,104,26.55,90.0,101,7.65,205.1,116,9.23,7.3,5,1.97,1,0
1084,56,41,408,2116,1674,202.9,97,34.49,153.8,104,13.07,113.5,92,5.11,9.0,3,2.43,3,0
830,41,63,408,2116,1674,83.0,64,14.11,177.0,106,15.05,245.7,89,11.06,13.0,3,3.51,0,0
1616,38,155,408,2116,659,183.3,106,31.16,205.1,101,17.43,263.7,90,11.87,5.1,7,1.38,1,0
2607,60,77,415,2116,659,143.0,101,24.31,212.2,102,18.04,104.9,120,4.72,15.3,4,4.13,5,1
2657,36,3,510,217,1674,161.0,96,27.37,244.9,82,20.82,180.8,103,8.14,7.7,6,2.08,1,0
1104,50,31,415,2116,659,100.1,54,17.02,246.3,97,20.94,255.0,131,11.48,5.9,3,1.59,0,0
1050,53,50,510,2116,1674,258.1,106,43.88,161.4,106,13.72,225.1,110,10.13,11.7,5,3.16,1,0
3304,53,83,510,2116,1674,78.1,70,13.28,239.3,115,20.34,144.4,112,6.5,12.3,4,3.32,1,0
959,45,90,408,2116,659,150.1,109,25.52,264.7,103,22.5,178.4,97,8.03,5.8,4,1.57,1,0
3311,31,45,415,2116,1674,211.3,87,35.92,165.7,97,14.08,265.9,72,11.97,13.3,6,3.59,1,0
2879,25,33,408,2116,1674,159.5,115,27.12,195.4,118,16.61,102.4,86,4.61,7.1,7,1.92,1,0
925,51,114,415,2116,659,125.2,79,21.28,177.8,105,15.11,232.4,89,10.46,12.9,3,3.48,1,0
3202,42,148,510,2116,1674,216.2,95,36.75,185.7,105,15.78,300.0,143,13.5,10.0,5,2.7,2,0
1516,50,164,408,2116,659,219.1,88,37.25,151.5,99,12.88,50.1,60,2.25,14.3,6,3.86,1,0
949,52,162,510,2116,1674,220.6,117,37.5,155.2,121,13.19,186.7,89,8.4,10.5,11,2.84,1,0
2554,51,61,415,2116,1674,188.9,105,32.11,153.6,116,13.06,213.3,106,9.6,10.2,2,2.75,2,0
1042,42,132,510,2116,659,226.2,103,38.45,181.6,125,15.44,258.8,102,11.65,10.5,5,2.84,3,1
570,53,44,415,2116,1674,202.6,89,34.44,163.0,96,13.86,268.1,151,12.06,8.3,3,2.24,0,0
2759,55,85,408,2116,659,173.1,107,29.43,247.2,101,21.01,158.7,104,7.14,11.5,5,3.11,1,0
896,43,71,415,2116,1674,197.9,108,33.64,181.5,109,15.43,281.4,56,12.66,6.7,5,1.81,3,0
2395,56,143,510,2116,1674,194.3,99,33.03,123.6,133,10.51,229.5,99,10.33,10.2,2,2.75,2,0
3017,44,80,415,2116,1674,127.8,67,21.73,181.6,112,15.44,197.3,63,8.88,15.9,2,4.29,2,0
935,55,86,415,2116,1674,128.3,121,21.81,197.1,93,16.75,138.4,152,6.23,12.2,5,3.29,7,1
813,75,94,510,217,659,197.1,125,33.51,214.5,136,18.23,282.2,103,12.7,9.5,5,2.57,4,0
2011,56,114,415,2116,1674,202.1,100,34.36,195.7,102,16.63,291.8,120,13.13,13.3,5,3.59,2,0
3181,33,108,510,2116,659,170.7,88,29.02,109.9,113,9.34,165.7,99,7.46,8.7,1,2.35,3,0
3276,60,61,415,2116,1674,234.2,76,39.81,216.7,108,18.42,130.6,122,5.88,13.9,2,3.75,1,0
409,39,113,408,2116,659,157.8,83,26.83,161.5,56,13.73,271.5,100,12.22,8.7,2,2.35,5,1
1270,33,122,415,217,1674,230.9,132,39.25,243.2,99,20.67,182.4,57,8.21,11.0,2,2.97,0,1
2164,37,105,510,217,659,156.1,89,26.54,107.1,114,9.1,167.7,95,7.55,14.7,3,3.97,0,1
3284,39,60,415,2116,1674,180.3,67,30.65,208.0,68,17.68,181.2,101,8.15,12.8,6,3.46,2,0
2452,43,87,415,2116,1674,177.2,72,30.12,248.9,105,21.16,200.8,87,9.04,8.6,7,2.32,3,0
1787,51,127,415,217,659,95.9,117,16.3,159.5,131,13.56,152.8,132,6.88,10.4,3,2.81,1,0
2336,38,106,415,2116,659,223.5,104,38.0,235.1,99,19.98,140.1,90,6.3,10.6,5,2.86,2,0
1427,37,5,415,2116,1674,199.2,106,33.86,187.3,12,15.92,214.0,85,9.63,13.3,3,3.59,3,0
565,50,134,408,2116,659,80.3,94,13.65,199.9,124,16.99,170.8,117,7.69,16.6,3,4.48,0,0
1626,50,36,510,2116,1674,178.6,83,30.36,213.1,103,18.11,198.0,119,8.91,10.9,5,2.94,1,0
263,34,48,510,2116,1674,128.2,71,21.79,48.1,78,4.09,116.3,80,5.23,8.9,3,2.4,0,0
2396,42,166,510,217,1674,47.7,89,8.11,264.4,95,22.47,235.2,97,10.58,13.2,3,3.56,0,1
2645,56,119,415,2116,1674,230.4,117,39.17,225.0,101,19.13,198.5,111,8.93,7.6,6,2.05,3,0
1753,56,54,415,2116,1674,116.8,119,19.86,123.1,123,10.46,217.5,101,9.79,12.0,2,3.24,1,0
252,45,119,415,217,659,160.0,95,27.2,209.5,110,17.81,82.3,107,3.7,8.7,5,2.35,5,1
2434,60,116,510,2116,1674,89.5,128,15.22,180.8,137,15.37,193.1,94,8.69,14.0,3,3.78,2,0
2653,51,78,408,2116,1674,220.0,95,37.4,179.9,121,15.29,188.2,109,8.47,11.5,5,3.11,0,0
1176,47,13,415,2116,659,265.3,94,45.1,147.6,95,12.55,259.3,117,11.67,12.9,1,3.48,1,0
2196,51,70,415,2116,1674,175.4,130,29.82,159.5,130,13.56,260.6,96,11.73,11.6,4,3.13,0,0
2813,47,136,408,2116,659,187.7,84,31.91,221.0,147,18.79,145.7,110,6.56,10.0,4,2.7,3,0
1318,50,74,415,2116,1674,172.1,105,29.26,211.7,99,17.99,182.2,105,8.2,11.6,6,3.13,1,0
3319,52,103,510,2116,659,164.1,111,27.9,219.1,96,18.62,220.3,108,9.91,12.3,9,3.32,0,0
2140,39,63,408,2116,1674,211.7,107,35.99,271.7,77,23.09,203.3,108,9.15,7.4,7,2.0,0,0
2806,47,88,415,2116,1674,301.5,136,51.26,257.7,72,21.9,132.9,118,5.98,13.4,2,3.62,4,1
214,63,116,510,2116,1674,201.8,82,34.31,231.5,95,19.68,226.1,130,10.17,16.5,5,4.46,0,0
277,56,166,415,2116,1674,220.7,106,37.52,177.8,118,15.11,206.1,102,9.27,12.4,9,3.35,1,0
2871,52,145,510,217,659,175.3,107,29.8,153.3,116,13.03,233.6,85,10.51,11.1,3,3.0,1,0
3251,50,115,415,2116,1674,226.4,101,38.49,276.8,60,23.53,213.4,82,9.6,12.3,4,3.32,3,1
975,50,127,415,2116,1674,221.0,100,37.57,160.7,113,13.66,233.1,96,10.49,6.8,4,1.84,2,0
1379,57,72,510,217,659,139.8,114,23.77,138.2,91,11.75,221.0,88,9.95,5.5,6,1.49,0,0
1341,31,66,510,2116,1674,256.3,135,43.57,180.2,106,15.32,187.3,135,8.43,6.2,7,1.67,2,0
2340,50,94,510,2116,659,233.2,88,39.64,113.3,102,9.63,118.0,71,5.31,16.1,4,4.35,0,0
1292,43,92,415,2116,1674,197.0,84,33.49,269.3,105,22.89,158.9,105,7.15,10.8,4,2.92,1,0
1524,47,113,408,2116,1674,132.1,72,22.46,247.5,107,21.04,246.2,123,11.08,6.9,6,1.86,3,0
799,57,141,415,2116,1674,217.1,110,36.91,241.5,111,20.53,253.5,103,11.41,12.0,6,3.24,0,0
2242,56,70,415,2116,1674,7.9,100,1.34,136.4,83,11.59,156.6,89,7.05,12.1,1,3.27,0,0
977,37,97,415,2116,1674,151.6,107,25.77,155.4,96,13.21,240.0,112,10.8,14.7,4,3.97,1,0
1447,60,64,415,217,1674,346.8,55,58.96,249.5,79,21.21,275.4,102,12.39,13.3,9,3.59,1,1
2784,31,89,415,2116,659,174.4,108,29.65,196.7,100,16.72,127.4,74,5.73,11.8,3,3.19,1,0
1471,55,122,415,2116,1674,232.5,96,39.53,205.5,120,17.47,213.7,91,9.62,11.9,2,3.21,0,0
3212,39,100,408,2116,1674,218.8,125,37.2,148.3,102,12.61,277.8,97,12.5,9.7,6,2.62,1,0
1762,60,40,510,2116,1674,115.7,105,19.67,127.8,113,10.86,107.5,91,4.84,9.3,6,2.51,1,0
345,51,16,415,2116,1674,174.7,83,29.7,280.8,122,23.87,171.7,80,7.73,10.5,8,2.84,5,0
1217,50,99,415,2116,1674,191.2,110,32.5,163.9,102,13.93,243.6,114,10.96,14.1,3,3.81,1,0
2179,44,88,408,2116,659,80.3,140,13.65,153.3,101,13.03,309.2,123,13.91,12.8,3,3.46,2,0
1789,44,176,415,2116,1674,250.9,108,42.65,171.4,100,14.57,148.6,85,6.69,9.6,6,2.59,2,0
863,55,73,415,2116,1674,192.2,86,32.67,168.6,116,14.33,139.8,87,6.29,9.4,6,2.54,1,0
1209,40,71,415,2116,1674,277.5,104,47.18,131.8,121,11.2,126.9,101,5.71,8.2,2,2.21,1,0
1776,39,133,408,2116,1674,162.1,91,27.56,212.1,94,18.03,260.4,78,11.72,12.2,5,3.29,1,0
1249,44,66,415,2116,1674,34.0,133,5.78,278.6,61,23.68,129.6,120,5.83,11.5,3,3.11,0,0
170,57,68,408,217,1674,148.5,126,25.25,219.4,125,18.65,198.5,121,8.93,14.5,7,3.92,1,1
